data-implied-do	{LEFT_PARENTHESIS: '(' (TERMINAL) }
57_group_autogen	{COMMA: ',' (TERMINAL) }
execution-part-construct1_optlist_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'FORMAT' (TERMINAL), NAME_LITERAL: 'ENTRY' (TERMINAL), NAME_LITERAL: 'DATA' (TERMINAL), NAME_LITERAL: 'ALLOCATE' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'BACKSPACE' (TERMINAL), NAME_LITERAL: 'CALL' (TERMINAL), NAME_LITERAL: 'CLOSE' (TERMINAL), NAME_LITERAL: 'CONTINUE' (TERMINAL), NAME_LITERAL: 'CYCLE' (TERMINAL), NAME_LITERAL: 'DEALLOCATE' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL), NAME_LITERAL: 'ENDPROGRAM' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENDFILE' (TERMINAL), NAME_LITERAL: 'ERROR' (TERMINAL), NAME_LITERAL: 'EXIT' (TERMINAL), NAME_LITERAL: 'FLUSH' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL), NAME_LITERAL: 'INQUIRE' (TERMINAL), NAME_LITERAL: 'LOCK' (TERMINAL), NAME_LITERAL: 'NULLIFY' (TERMINAL), NAME_LITERAL: 'OPEN' (TERMINAL), NAME_LITERAL: 'PRINT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'RETURN' (TERMINAL), NAME_LITERAL: 'REWIND' (TERMINAL), NAME_LITERAL: 'STOP' (TERMINAL), NAME_LITERAL: 'SYNC' (TERMINAL), NAME_LITERAL: 'UNLOCK' (TERMINAL), NAME_LITERAL: 'WAIT' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), NAME_LITERAL: 'ASSOCIATE' (TERMINAL), NAME_LITERAL: 'BLOCK' (TERMINAL), NAME_LITERAL: 'SELECT' (TERMINAL), NAME_LITERAL: 'SELECTCASE' (TERMINAL), NAME_LITERAL: 'CRITICAL' (TERMINAL), NAME_LITERAL: 'SELECTTYPE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
sufix1_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'BIND' (TERMINAL), NAME_LITERAL: 'RESULT' (TERMINAL) }
type-bound-proc-binding1_optlist_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'PROCEDURE' (TERMINAL), NAME_LITERAL: 'GENERIC' (TERMINAL), NAME_LITERAL: 'FINAL' (TERMINAL) }
letter-spec	{NAME_LITERAL: '' (TERMINAL) }
sync-all-stmt	{NAME_LITERAL: 'SYNC' (TERMINAL) }
16_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL), SLASH: '/' (TERMINAL) }
k	{INT_LITERAL_CONSTANT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
enumerator-def-stmt	{NAME_LITERAL: 'ENUMERATOR' (TERMINAL) }
format-stmt	{NAME_LITERAL: 'FORMAT' (TERMINAL) }
17_group_autogen	{COMMA: ',' (TERMINAL) }
codimension-decl-list	{NAME_LITERAL: '' (TERMINAL) }
33_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
4_opt_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL), COLON: ':' (TERMINAL) }
20_group_autogen	{COMMA: ',' (TERMINAL) }
allocate-shape-spec-list	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
deferred-shape-spec-list	{COLON: ':' (TERMINAL) }
78_group_autogen	{COMMA: ',' (TERMINAL) }
42_group_autogen	{COMMA: ',' (TERMINAL) }
data-stmt	{NAME_LITERAL: 'DATA' (TERMINAL) }
scalar-structure-component	{NAME_LITERAL: '' (TERMINAL) }
18_opt_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
deallocate-stmt	{NAME_LITERAL: 'DEALLOCATE' (TERMINAL) }
specification-part	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'USE' (TERMINAL), NAME_LITERAL: 'IMPORT' (TERMINAL), NAME_LITERAL: 'IMPLICIT' (TERMINAL), NAME_LITERAL: 'ENTRY' (TERMINAL), NAME_LITERAL: 'FORMAT' (TERMINAL), NAME_LITERAL: 'PARAMETER' (TERMINAL), NAME_LITERAL: 'PROCEDURE' (TERMINAL), NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'ENUM' (TERMINAL), NAME_LITERAL: 'INTERFACE' (TERMINAL), NAME_LITERAL: 'ABSTRACT' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL), NAME_LITERAL: 'ALLOCATABLE' (TERMINAL), NAME_LITERAL: 'ASYNCHRONOUS' (TERMINAL), NAME_LITERAL: 'BIND' (TERMINAL), NAME_LITERAL: 'CODIMENSION' (TERMINAL), NAME_LITERAL: 'COMMON' (TERMINAL), NAME_LITERAL: 'DATA' (TERMINAL), NAME_LITERAL: 'DIMENSION' (TERMINAL), NAME_LITERAL: 'EQUIVALENCE' (TERMINAL), NAME_LITERAL: 'EXTERNAL' (TERMINAL), NAME_LITERAL: 'INTENT' (TERMINAL), NAME_LITERAL: 'INTRINSIC' (TERMINAL), NAME_LITERAL: 'NAMELIST' (TERMINAL), NAME_LITERAL: 'OPTIONAL' (TERMINAL), NAME_LITERAL: 'POINTER' (TERMINAL), NAME_LITERAL: 'PROTECTED' (TERMINAL), NAME_LITERAL: 'SAVE' (TERMINAL), NAME_LITERAL: 'TARGET' (TERMINAL), NAME_LITERAL: 'VOLATILE' (TERMINAL), NAME_LITERAL: 'VALUE' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
computed-goto-stmt	{NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL) }
14_group_autogen	{LEFT_SQUARE_BRACKET: '[' (TERMINAL) }
77_group_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL), COLON: ':' (TERMINAL) }
assumed-shape-spec-list	{COLON: ':' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
proc-pointer-object	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
cosubscript	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
flush-spec-list	{NAME_LITERAL: 'UNIT' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'IOSTAT' (TERMINAL), NAME_LITERAL: 'IOMSG' (TERMINAL), NAME_LITERAL: 'ERR' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
equivalence-object	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL) }
28_opt_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
only-use-name	{NAME_LITERAL: '' (TERMINAL) }
declaration-type-spec	{NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
allocate-object-list	{NAME_LITERAL: '' (TERMINAL) }
block-do-construct	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL) }
54_group_autogen	{NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL) }
complex-part-designator	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL) }
stride	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
do-term-shared-stmt	{NAME_LITERAL: 'ALLOCATE' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'BACKSPACE' (TERMINAL), NAME_LITERAL: 'CALL' (TERMINAL), NAME_LITERAL: 'CLOSE' (TERMINAL), NAME_LITERAL: 'CONTINUE' (TERMINAL), NAME_LITERAL: 'CYCLE' (TERMINAL), NAME_LITERAL: 'DEALLOCATE' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL), NAME_LITERAL: 'ENDPROGRAM' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENDFILE' (TERMINAL), NAME_LITERAL: 'ERROR' (TERMINAL), NAME_LITERAL: 'EXIT' (TERMINAL), NAME_LITERAL: 'FLUSH' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL), NAME_LITERAL: 'INQUIRE' (TERMINAL), NAME_LITERAL: 'LOCK' (TERMINAL), NAME_LITERAL: 'NULLIFY' (TERMINAL), NAME_LITERAL: 'OPEN' (TERMINAL), NAME_LITERAL: 'PRINT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'RETURN' (TERMINAL), NAME_LITERAL: 'REWIND' (TERMINAL), NAME_LITERAL: 'STOP' (TERMINAL), NAME_LITERAL: 'SYNC' (TERMINAL), NAME_LITERAL: 'UNLOCK' (TERMINAL), NAME_LITERAL: 'WAIT' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
end-module-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDMODULE' (TERMINAL) }
sign	{PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
structure-constructor	{NAME_LITERAL: '' (TERMINAL) }
binding-attr	{NAME_LITERAL: 'PASS' (TERMINAL), NAME_LITERAL: 'NOPASS' (TERMINAL), NAME_LITERAL: 'NON' (TERMINAL), NAME_LITERAL: 'DEFERRED' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL) }
prefix-spec	{NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'ELEMENTAL' (TERMINAL), NAME_LITERAL: 'IMPURE' (TERMINAL), NAME_LITERAL: 'MODULE' (TERMINAL), NAME_LITERAL: 'PURE' (TERMINAL), NAME_LITERAL: 'RECURSIVE' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
type-param-value	{ASTERIK: '*' (TERMINAL), COLON: ':' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
type-param-decl-list	{NAME_LITERAL: '' (TERMINAL) }
subroutine-stmt	{NAME_LITERAL: 'SUBROUTINE' (TERMINAL), NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'ELEMENTAL' (TERMINAL), NAME_LITERAL: 'IMPURE' (TERMINAL), NAME_LITERAL: 'MODULE' (TERMINAL), NAME_LITERAL: 'PURE' (TERMINAL), NAME_LITERAL: 'RECURSIVE' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
format	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), ASTERIK: '*' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
76_group_autogen	{COMMA: ',' (TERMINAL) }
proc-component-attr-spec-list	{NAME_LITERAL: 'POINTER' (TERMINAL), NAME_LITERAL: 'PASS' (TERMINAL), NAME_LITERAL: 'NOPASS' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL) }
type-attr-spec	{NAME_LITERAL: 'ABSTRACT' (TERMINAL), NAME_LITERAL: 'BIND' (TERMINAL), NAME_LITERAL: 'EXTENDS' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL) }
intent-spec	{NAME_LITERAL: 'IN' (TERMINAL), NAME_LITERAL: 'OUT' (TERMINAL), NAME_LITERAL: 'INOUT' (TERMINAL) }
select-case-stmt	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'SELECT' (TERMINAL), NAME_LITERAL: 'SELECTCASE' (TERMINAL) }
forall-triplet-spec	{NAME_LITERAL: '' (TERMINAL) }
sign-edit-desc	{NAME_LITERAL: 'SS' (TERMINAL), NAME_LITERAL: 'SP' (TERMINAL), NAME_LITERAL: 'S' (TERMINAL) }
13_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL), SLASH: '/' (TERMINAL) }
select-type-construct	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'SELECT' (TERMINAL), NAME_LITERAL: 'SELECTTYPE' (TERMINAL) }
protected-stmt	{NAME_LITERAL: 'PROTECTED' (TERMINAL) }
32_opt_autogen	{DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
17_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
target-decl-list	{NAME_LITERAL: '' (TERMINAL) }
input-item	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
assumed-shape-spec	{COLON: ':' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
use-stmt	{NAME_LITERAL: 'USE' (TERMINAL) }
section-subscript	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), _EMTPTY_: '' (TERMINAL), COLON: ':' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
17_opt_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
data-stmt-object	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
end-function-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL) }
proc-component-ref	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
25_group_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL), SLASH: '/' (TERMINAL) }
pointer-object	{NAME_LITERAL: '' (TERMINAL) }
array-constructor	{LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL) }
elsewhere-stmt	{NAME_LITERAL: 'ELSE' (TERMINAL), NAME_LITERAL: 'ELSEWHERE' (TERMINAL) }
42_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
io-unit	{ASTERIK: '*' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
or-operand	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
proc-component-attr-spec	{NAME_LITERAL: 'POINTER' (TERMINAL), NAME_LITERAL: 'PASS' (TERMINAL), NAME_LITERAL: 'NOPASS' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL) }
print-stmt	{NAME_LITERAL: 'PRINT' (TERMINAL) }
8_group_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
submodule-stmt	{NAME_LITERAL: 'SUBMODULE' (TERMINAL) }
18_group_autogen	{COMMA: ',' (TERMINAL) }
component-data-source	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
15_opt_autogen	{SLASH: '/' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
cycle-stmt	{NAME_LITERAL: 'CYCLE' (TERMINAL) }
allocate-object	{NAME_LITERAL: '' (TERMINAL) }
interface-stmt	{NAME_LITERAL: 'INTERFACE' (TERMINAL), NAME_LITERAL: 'ABSTRACT' (TERMINAL) }
